,gameid,league,year,split,playoffs,date,patch,participantid,side,position,playername,playerid,teamname,gamelength,result,totalgold,ELO,opp_participantid,opp_side,opp_position,opp_playername,opp_playerid,opp_teamname,opp_result,opp_totalgold,opp_ELO,golddiff
3221,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,2,Blue,jng,Selfmade,oe:player:96436efa39788172b8b2f90fc97e842,Fnatic,1659,1,11293.67088607595,1000,7,Red,jng,Xerxe,oe:player:ab7f28ca18446cb18274a884b1525f7,Origen,0,7360.5786618444845,1000,3933.0922242314655
3222,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,3,Blue,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,Fnatic,1659,1,14060.397830018082,1000,8,Red,mid,Nukeduck,oe:player:65859b9ee65cbbf96fe589d8ec8abbc,Origen,0,8866.546112115731,1000,5193.851717902351
3223,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,4,Blue,bot,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,Fnatic,1659,1,9020.614828209766,1000,9,Red,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Origen,0,10222.784810126583,1000,-1202.169981916817
3224,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,5,Blue,sup,Hylissang,oe:player:3c784fdd6a025028ad063525c14027a,Fnatic,1659,1,11545.388788426762,1000,10,Red,sup,Destiny,oe:player:6b2acf5555e281f3e64f9a338da6a66,Origen,0,5333.815551537071,1000,6211.5732368896915
3225,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,6,Red,top,Alphari,oe:player:9492b0cfd4d97adce92527c34db72ee,Origen,1659,0,10393.128390596745,1000,1,Blue,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,Fnatic,1,11277.39602169982,1000,-884.2676311030755
3226,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,7,Red,jng,Xerxe,oe:player:ab7f28ca18446cb18274a884b1525f7,Origen,1659,0,7360.5786618444845,1000,2,Blue,jng,Selfmade,oe:player:96436efa39788172b8b2f90fc97e842,Fnatic,1,11293.67088607595,1000,-3933.0922242314655
3227,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,8,Red,mid,Nukeduck,oe:player:65859b9ee65cbbf96fe589d8ec8abbc,Origen,1659,0,8866.546112115731,1000,3,Blue,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,Fnatic,1,14060.397830018082,1000,-5193.851717902351
3228,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,9,Red,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Origen,1659,0,10222.784810126583,1000,4,Blue,bot,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,Fnatic,1,9020.614828209766,1000,1202.169981916817
3229,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,10,Red,sup,Destiny,oe:player:6b2acf5555e281f3e64f9a338da6a66,Origen,1659,0,5333.815551537071,1000,5,Blue,sup,Hylissang,oe:player:3c784fdd6a025028ad063525c14027a,Fnatic,1,11545.388788426762,1000,-6211.5732368896915
3230,ESPORTSTMNT05/1440458,LEC,2020,Spring,1,2020-04-04 15:02:22,10.06,1,Blue,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,Fnatic,1710,1,11872.631578947368,1000,6,Red,top,Alphari,oe:player:9492b0cfd4d97adce92527c34db72ee,Origen,0,11746.315789473685,1000,126.31578947368325
