,gameid,league,year,split,playoffs,date,patch,participantid,side,position,playername,playerid,teamname,gamelength,result,totalgold,ELO,opp_participantid,opp_side,opp_position,opp_playername,opp_playerid,opp_teamname,opp_result,opp_totalgold,opp_ELO,golddiff
44,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,5,Blue,sup,Mithy,oe:player:0602036a87550a3c7c8aa049ddaef49,Origen,1634,0,6717.50305997552,1000,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1,8675.030599755202,1000,-1957.5275397796822
45,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,6,Red,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,1634,1,13319.339045287637,1000,1,Blue,top,Alphari,oe:player:9492b0cfd4d97adce92527c34db72ee,Origen,0,9738.066095471235,1000,3581.2729498164026
46,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,7,Red,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,1634,1,11945.654834761322,1000,2,Blue,jng,Kold,oe:player:da3c9352492e69b0e04b2cd51c3984b,Origen,0,9093.635250917992,1000,2852.01958384333
47,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,8,Red,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,1634,1,12541.615667074662,1000,3,Blue,mid,Nukeduck,oe:player:65859b9ee65cbbf96fe589d8ec8abbc,Origen,0,9480.293757649939,1000,3061.3219094247233
48,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,9,Red,bot,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,1634,1,13257.64993880049,1000,4,Blue,bot,Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,Origen,0,12042.594859241126,1000,1215.0550795593645
49,ESPORTSTMNT02/990721,LEC,2019,Spring,0,2019-01-18 22:39:30,9.01,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1634,1,8675.030599755202,1000,5,Blue,sup,Mithy,oe:player:0602036a87550a3c7c8aa049ddaef49,Origen,0,6717.50305997552,1000,1957.5275397796822
50,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,1,Blue,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,1448,1,11885.220994475138,1000,6,Red,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,FC Schalke 04 Esports,0,10333.839779005524,1000,1551.3812154696134
51,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,1448,1,13252.624309392266,1000,7,Red,jng,Memento,oe:player:13d60b1925f413337824ed6278bcc93,FC Schalke 04 Esports,0,8991.298342541437,1000,4261.325966850829
52,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,3,Blue,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,1448,1,13470.165745856353,1000,8,Red,mid,Abbedagge,oe:player:da87886941820cfc2eee112d0143e90,FC Schalke 04 Esports,0,9821.685082872928,1000,3648.4806629834256
53,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,4,Blue,bot,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,1448,1,17076.381215469613,1000,9,Red,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,FC Schalke 04 Esports,0,10075.276243093924,1000,7001.10497237569
54,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1448,1,10142.403314917126,1000,10,Red,sup,IgNar,oe:player:e22cffb92554f5dde312609feccc6f8,FC Schalke 04 Esports,0,6791.022099447514,1000,3351.3812154696125
55,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,6,Red,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,FC Schalke 04 Esports,1448,0,10333.839779005524,1000,1,Blue,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,1,11885.220994475138,1000,-1551.3812154696134
56,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,7,Red,jng,Memento,oe:player:13d60b1925f413337824ed6278bcc93,FC Schalke 04 Esports,1448,0,8991.298342541437,1000,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,1,13252.624309392266,1000,-4261.325966850829
57,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,8,Red,mid,Abbedagge,oe:player:da87886941820cfc2eee112d0143e90,FC Schalke 04 Esports,1448,0,9821.685082872928,1000,3,Blue,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,1,13470.165745856353,1000,-3648.4806629834256
58,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,9,Red,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,FC Schalke 04 Esports,1448,0,10075.276243093924,1000,4,Blue,bot,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,1,17076.381215469613,1000,-7001.10497237569
59,ESPORTSTMNT02/980683,LEC,2019,Spring,0,2019-01-19 15:22:03,9.01,10,Red,sup,IgNar,oe:player:e22cffb92554f5dde312609feccc6f8,FC Schalke 04 Esports,1448,0,6791.022099447514,1000,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1,10142.403314917126,1000,-3351.3812154696125
60,ESPORTSTMNT02/980693,LEC,2019,Spring,0,2019-01-19 16:38:02,9.01,1,Blue,top,Expect,oe:player:7f036407d75c774176a7effbe959366,Excel Esports,1652,1,10710.653753026634,1000,6,Red,top,Profit,oe:player:182875b6c36a761f1e459624c1d9363,Rogue,0,9592.73607748184,1000,1117.9176755447934
